accuracy,loss,val_accuracy,val_loss
0.9003002047538757,0.2707359194755554,0.7497556209564209,0.8400251269340515
0.9398009181022644,0.13870224356651306,0.8582600355148315,0.8354024291038513
0.9445409774780273,0.12912005186080933,0.8631476163864136,0.6649363040924072
0.9459630250930786,0.11671493947505951,0.890518069267273,1.0848374366760254
0.9507030844688416,0.10357043892145157,0.8993157148361206,0.7374269962310791
0.9495971202850342,0.10718841105699539,0.9061583280563354,0.47547653317451477
0.9529151320457458,0.1055971160531044,0.8602150678634644,1.0352864265441895
0.9514931440353394,0.10929206758737564,0.9022482633590698,0.7851995825767517
0.9495971202850342,0.09982042759656906,0.9335288405418396,0.29628950357437134
0.9576552510261536,0.08889899402856827,0.8924731016159058,0.8196793794631958
0.9590772390365601,0.08525063842535019,0.9032257795333862,0.7199686765670776
0.9597092866897583,0.09129651635885239,0.9090909361839294,0.6641268730163574
0.9492810964584351,0.10795697569847107,0.8885630369186401,0.19511115550994873
0.9627113342285156,0.09255357086658478,0.8514174222946167,0.7003329992294312
