accuracy,loss,val_accuracy,val_loss
0.7713698744773865,0.6535223722457886,0.7732160091400146,0.6517655849456787
0.914204478263855,0.22929398715496063,0.8533724546432495,0.47786271572113037
0.9379048943519592,0.1543571949005127,0.8553274869918823,0.44947755336761475
0.9451730251312256,0.12907980382442474,0.8572825193405151,0.47351449728012085
0.9477010369300842,0.12012983113527298,0.8533724546432495,0.49929073452949524
0.949755072593689,0.11254214495420456,0.859237551689148,0.5103579759597778
0.9519671201705933,0.10606930404901505,0.8445748090744019,0.6923666596412659
0.9538631439208984,0.10187151283025742,0.8719452619552612,0.4637559950351715
0.9524411559104919,0.09924647212028503,0.8387096524238586,0.8465026021003723
0.9551271796226501,0.09406977891921997,0.8651026487350464,0.6824682950973511
0.9587612748146057,0.08941037952899933,0.8563050031661987,0.6923142075538635
0.9598672986030579,0.0859016552567482,0.8553274869918823,0.734333872795105
0.9620793461799622,0.08235535770654678,0.8572825193405151,0.6852808594703674
