accuracy,loss,val_accuracy,val_loss
0.8642755746841431,0.40257129073143005,0.6666666865348816,0.7978476285934448
0.9349028468132019,0.17818231880664825,0.7047898173332214,0.5235483646392822
0.9456470012664795,0.1372860074043274,0.8406646847724915,0.4254022240638733
0.9514931440353394,0.12011080980300903,0.859237551689148,0.34746888279914856
0.9505451321601868,0.1107298955321312,0.8797653913497925,0.30876991152763367
0.957497239112854,0.10148319602012634,0.8934506177902222,0.2687213718891144
0.9593932628631592,0.09627466648817062,0.8699902296066284,0.3792177140712738
0.9606572985649109,0.09322476387023926,0.8729227781295776,0.38690879940986633
0.9625533223152161,0.08879309147596359,0.8768328428268433,0.3360881805419922
0.9631853103637695,0.08480067551136017,0.8758553266525269,0.37554267048835754
0.9650813937187195,0.08234172314405441,0.8924731016159058,0.31900426745414734
